email,edate,custname,deladdr,orderno,Title,Author,Publisher,ISBN,cover,quantity,unitprice,subtotal,image,Nett,postage,ordertotal
jbloggs@school.ie,17-Jul-20,Joe Bloggs,"47 Ayrton Heights, Dublin 21.",54451,Connect with Maths 1 Workbook,"ÊJohn McKeown, Michelle Kelly",Edco,1845366093,No,2,17.95,35.9,ConnMt.jpg,98.55,6.5,105.05
jbloggs@school.ie,17-Jul-20,Joe Bloggs,"47 Ayrton Heights, Dublin 21.",54451,Abenteuer Deutsch 1 (Set),Melanie Henry,Edco,9.78185E+12,yes,1,24.95,24.95,AbDeut.jpg,98.55,6.5,105.05
jbloggs@school.ie,17-Jul-20,Joe Bloggs,"47 Ayrton Heights, Dublin 21.",54451,Chrysalis Rev,Padraig Nolan, Fallons ,345494679,no,1,21.75,21.75,ChryRev.jpg,98.55,6.5,105.05
jbloggs@school.ie,17-Jul-20,Joe Bloggs,"47 Ayrton Heights, Dublin 21.",54451,Bua gan Dua JC,Ni Dhuibhir Gearoidin,Mentor Books,9.78191E+11,yes,1,15.95,15.95,BuaDua.jpg,98.55,6.5,105.05
JaneFox.school.com,12-Jul-20,Jane Fox,"12 Greytowers, Dun Laoghaire",48831,Connect with Maths 1 Workbook,"John McKeown, Michelle Kelly",Edco,1845366093,No,10,17.95,179.5,ConnMt.jpg,1008,25,1033
JaneFox.school.com,12-Jul-20,Jane Fox,"12 Greytowers, Dun Laoghaire",48831,Fire and Ice,"Pauline Kelly, Deirdre Murphy",Gill,717169839,no,10,27.95,279.5,Fireice.jpg,1008,25,1033
JaneFox.school.com,12-Jul-20,Jane Fox,"12 Greytowers, Dun Laoghaire",48831,Mol an îige 3,Triona Geraghty,Gill,717180379,no,10,29.95,299.5,MolOig.jpg,1008,25,1033
JaneFox.school.com,12-Jul-20,Jane Fox,"12 Greytowers, Dun Laoghaire",48831,Allons-y 2,Lisa Bergin & Linda Fogarty,Educate.ie,1912239582,no,10,24.95,249.5,allonsy.jpg,1008,25,1033
kholmes@gmail.com,10-Aug-20,Kirsten Holmes,"19 Newton Ave, D14",50330,Abenteuer Deutsch 1 (Set),Melanie Henry,Edco,9.78185E+12,yes,1,24.95,24.95,AbDeut.jpg,93.8,6.5,100.3
kholmes@gmail.com,10-Aug-20,Kirsten Holmes,"19 Newton Ave, D14",50330,Allons-y 2,Lisa Bergin & Linda Fogarty,Educate.ie,1912239582,no,1,24.95,24.95,allonsy.jpg,93.8,6.5,100.3
kholmes@gmail.com,10-Aug-20,Kirsten Holmes,"19 Newton Ave, D14",50330,Bua gan Dua JC,Ni Dhuibhir Gearoidin,Mentor Books,9.78191E+11,yes,1,15.95,15.95,BuaDua.jpg,93.8,6.5,100.3
kholmes@gmail.com,10-Aug-20,Kirsten Holmes,"19 Newton Ave, D14",50330,Fire and Ice,"Pauline Kelly, Deirdre Murphy",Gill,717169839,no,10,27.95,279.5,Fireice.jpg,93.8,6.5,100.3
